cell_line	drugcombo	mean.bliss.estimate	p.value	conf.int.low	conf.int.high	p.value.bonferroni
A498	5Z	NA	NA	NA	NA	NA
SW-620	5Z	NA	NA	NA	NA	NA
AGS	5Z	NA	NA	NA	NA	NA
DU-145	5Z	NA	NA	NA	NA	NA
UACC-62	5Z	NA	NA	NA	NA	NA
SF-295	5Z	NA	NA	NA	NA	NA
COLO 205	5Z	NA	NA	NA	NA	NA
MDA-MB-468	5Z	NA	NA	NA	NA	NA
A498	PD PK	0.0349494657546223	0.0145101289815997	0.00731885071944029	0.0625800807898042	1
SW-620	PD PK	0.0274615482381492	0.000767787792590879	0.0122427738088271	0.0426803226674712	1
AGS	PD PK	0.0263279112293142	0.0135836972343352	0.00583921175517563	0.0468166107034529	1
DU-145	PD PK	0.030177328076638	0.0255654880702059	0.00388615098888854	0.0564685051643874	1
UACC-62	PD PK	0.0316211565187661	0.00544213225338332	0.00989225799659467	0.0533500550409375	1
SF-295	PD PK	0.0347021423242865	0.00197918492237312	0.0135380501751147	0.0558662344734582	1
COLO 205	PD PK	0.0259634469825269	0.00978469523321996	0.00663133523939302	0.0452955587256608	1
MDA-MB-468	PD PK	0.0431117768045617	0.0235418934826533	0.00727927428692138	0.078944279322202	1
A498	PI PK	0.0453406605637713	0.000564866293570958	0.0209191724493699	0.0697621486781728	0.772737089605071
SW-620	PI PK	0.0339385992455287	0.00148537805351703	0.013860260091953	0.0540169383991044	1
AGS	PI PK	0.0555274843818008	0.000237344937862149	0.0284326399611196	0.0826223288024821	0.32468787499542
DU-145	PI PK	0.0472550898030723	0.0142417742415327	0.010006476791053	0.0845037028150915	1
UACC-62	PI PK	0.0635567697122039	0.0032885671716347	0.0225089657596276	0.10460457366478	1
SF-295	PI PK	0.034271481189557	0.00596838082932801	0.010436908927255	0.058106053451859	1
COLO 205	PI PK	0.0864934739193798	0.00409087876275502	0.0291501433499821	0.143836804488778	1
MDA-MB-468	PI PK	0.0962524821396707	0.0823265105117099	-0.0151326886136666	0.207637652893008	1
A498	JN	NA	NA	NA	NA	NA
SW-620	JN	NA	NA	NA	NA	NA
AGS	JN	NA	NA	NA	NA	NA
DU-145	JN	NA	NA	NA	NA	NA
UACC-62	JN	NA	NA	NA	NA	NA
SF-295	JN	NA	NA	NA	NA	NA
COLO 205	JN	NA	NA	NA	NA	NA
MDA-MB-468	JN	NA	NA	NA	NA	NA
A498	5Z JN	-0.00447659071165292	0.799839693482816	-0.0399449343213615	0.0309917528980557	1
SW-620	5Z JN	-0.0208545716679196	0.1246352875805	-0.047732703960924	0.00602356062508481	1
AGS	5Z JN	-0.0238936499990512	0.337707488579373	-0.0740235190190028	0.0262362190209004	1
DU-145	5Z JN	-0.0107971356991462	0.476117906059796	-0.0411502064012054	0.019555935002913	1
UACC-62	5Z JN	-0.0599382359472906	7.2387210450671e-05	-0.0872560128564842	-0.032620459038097	0.0990257038965179
SF-295	5Z JN	0.0187092983749723	0.226209574117337	-0.0120672145314987	0.0494858112814433	1
COLO 205	5Z JN	-0.0170865814712025	0.127580554547507	-0.039285554829918	0.00511239188751298	1
MDA-MB-468	5Z JN	0.0232351507183837	0.445647874554406	-0.0426663664558312	0.0891366678925986	1
A498	AK JN	-0.0480594239080204	0.0205027694904937	-0.0883047737461542	-0.00781407406988661	1
SW-620	AK JN	-0.0489100769217221	0.0131040033096878	-0.0869625493595774	-0.0108576044838668	1
AGS	AK JN	-0.0435417588514617	0.0743789027474736	-0.0916523828716638	0.00456886516874026	1
DU-145	AK JN	-0.0704341252384968	0.0143416708342585	-0.12601513335758	-0.0148531171194139	1
UACC-62	AK JN	-0.0425306974582112	0.0905779121460436	-0.0921040384170496	0.00704264350062717	1
SF-295	AK JN	-0.103430095253913	0.00418449168820678	-0.172192399747971	-0.0346677907598553	1
COLO 205	AK JN	-0.0697776273592027	0.00725448850742383	-0.119589426427571	-0.0199658282908346	1
MDA-MB-468	AK JN	-0.0663572067303439	0.0377479536671005	-0.128035167400703	-0.00467924605998428	1
A498	BI JN	-0.0197722048257445	0.0825915184372157	-0.0422191620067554	0.00267475235526635	1
SW-620	BI JN	-0.062502087189877	2.51479689568607e-05	-0.0889598772272075	-0.0360442971525465	0.0344024215329854
AGS	BI JN	-0.0690133724762904	0.000183348693778528	-0.10194919158439	-0.0360775533681906	0.250821013089027
DU-145	BI JN	-0.0355466304885777	0.0241571730531968	-0.0661953346064151	-0.0048979263707402	1
UACC-62	BI JN	-0.0189854935916844	0.130684983999453	-0.043858457885707	0.00588747070233822	1
SF-295	BI JN	-0.0200638555396425	0.0675420484090896	-0.0416463699481503	0.0015186588688652	1
COLO 205	BI JN	-0.0387672265122153	0.00346771994900081	-0.0639623263926536	-0.013572126631777	1
MDA-MB-468	BI JN	-0.0392562909937261	0.0756759217212181	-0.0835002021919583	0.00498762020450608	1
A498	CT JN	0.00738582452338069	0.584468056387344	-0.0197047831602817	0.0344764322070431	1
SW-620	CT JN	-0.0178544183457077	0.131874246299191	-0.041319966937728	0.00561113024631253	1
AGS	CT JN	0.0047967342064343	0.722092294120477	-0.0225197116004067	0.0321131800132753	1
DU-145	CT JN	-0.0309420412149325	0.0308477157483139	-0.0588796293707033	-0.00300445305916172	1
UACC-62	CT JN	0.00620134250461418	0.708660181088752	-0.0271233804252908	0.0395260654345191	1
SF-295	CT JN	0.027164842584512	0.0214853017252278	0.00422955768089195	0.050100127488132	1
COLO 205	CT JN	0.0357521453419337	0.00220664144681134	0.013687025193498	0.0578172654903694	1
MDA-MB-468	CT JN	-0.0442606633225516	0.109426208335624	-0.100629932109842	0.0121086054647383	1
A498	PD JN	-0.0143232328574559	0.37314767513394	-0.0464799895179962	0.0178335238030843	1
SW-620	PD JN	0.00861292256875893	0.26862321128978	-0.00691077551475459	0.0241366206522724	1
AGS	PD JN	0.0739598178980371	1.79401927462623e-06	0.048565582993874	0.0993540528022003	0.00245421836768869
DU-145	PD JN	0.0738694547494497	1.31636745964999e-07	0.0506272902116115	0.097111619287288	0.000180079068480119
UACC-62	PD JN	-0.0140727280747737	0.127274163659054	-0.0323409277866909	0.00419547163714347	1
SF-295	PD JN	0.0816111081193514	8.84571173593553e-08	0.0564217367219495	0.106800479516753	0.000121009336547598
COLO 205	PD JN	0.0750586053598716	2.15677797473914e-08	0.0533637401957108	0.0967534705240325	2.95047226944315e-05
MDA-MB-468	PD JN	-0.0648557322740978	0.160665987553646	-0.160822382800137	0.0311109182519416	1
A498	PI JN	-0.0604376997655931	0.000560372029671717	-0.0929671413501497	-0.0279082581810365	0.766588936590909
SW-620	PI JN	-0.0891782310150189	6.16790736172821e-07	-0.119517830476989	-0.0588386315530491	0.000843769727084419
AGS	PI JN	-0.0315950738853352	0.0159136353370296	-0.0568296891841728	-0.00636045858649756	1
DU-145	PI JN	-0.0607030616645723	0.000330088424457032	-0.0918871333143191	-0.0295189900148256	0.45156096465722
UACC-62	PI JN	-0.139746792571641	6.52778603642297e-06	-0.194043931918831	-0.0854496532244511	0.00893001129782662
SF-295	PI JN	-0.140214588806747	2.54922382583542e-06	-0.191767496612618	-0.0886616810008752	0.00348733819374286
COLO 205	PI JN	-0.00336653862697031	0.651365084073865	-0.0183200943598587	0.0115870171059181	1
MDA-MB-468	PI JN	-0.131939340730304	0.0134137807708049	-0.229247635564627	-0.0346310458959812	1
A498	PK JN	0.00189987817484325	0.876849066125549	-0.0227361678092551	0.0265359241589416	1
SW-620	PK JN	0.0360398716114508	0.00158911399041447	0.0145678486358553	0.0575118945870463	1
AGS	PK JN	0.00793908526873106	0.327143229214351	-0.00835154360376432	0.0242297141412264	1
DU-145	PK JN	0.0202719630479512	0.0597505870668989	-0.0008740447467699	0.0414179708426723	1
UACC-62	PK JN	0.00758122752865065	0.285191620902692	-0.00657006098482423	0.0217325160421255	1
SF-295	PK JN	0.0130846019278649	0.112601749933886	-0.00322021132279705	0.0293894151785268	1
COLO 205	PK JN	0.00388735200000921	0.729577211192904	-0.0186955181352539	0.0264702221352723	1
MDA-MB-468	PK JN	0.0600512743174187	0.0160863861704324	0.0140818569086073	0.10602069172623	1
A498	D1	NA	NA	NA	NA	NA
SW-620	D1	NA	NA	NA	NA	NA
AGS	D1	NA	NA	NA	NA	NA
DU-145	D1	NA	NA	NA	NA	NA
UACC-62	D1	NA	NA	NA	NA	NA
SF-295	D1	NA	NA	NA	NA	NA
COLO 205	D1	NA	NA	NA	NA	NA
MDA-MB-468	D1	NA	NA	NA	NA	NA
A498	5Z D1	-0.0421545689542347	0.00525796575271543	-0.0709937778305588	-0.0133153600779106	1
SW-620	5Z D1	-0.0739249702364605	0.00102883022132194	-0.116066739723606	-0.0317832007493156	1
AGS	5Z D1	-0.127376190632501	0.000187264080700092	-0.188274287054497	-0.0664780942105044	0.256177262397726
DU-145	5Z D1	-0.0503977435432277	0.0038875878218239	-0.0836037229001674	-0.017191764186288	1
